Reviewer,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
you,5,4,4,0,1,0,2,0,0,3,4,0,1,1,1
r1,3,2,0,1,3,3,0,3,0,2,0,0,0,2,2
r2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
r3,3,4,1,1,3,5,4,1,3,4,2,1,5,0,4
r4,4,3,1,2,0,5,4,1,3,5,1,2,3,5,0
r5,4,1,3,1,1,2,4,3,2,1,4,4,2,2,2
r6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
r7,5,4,0,0,0,1,0,3,0,0,0,0,1,1,0
r8,2,0,0,3,5,0,0,3,4,0,5,4,0,4,5
r9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
r10,0,0,4,0,1,1,2,2,0,0,4,0,2,2,1
r11,0,0,4,2,3,3,0,4,5,1,0,0,0,3,0
r12,5,0,2,0,0,0,0,0,1,0,3,0,0,2,0
r13,0,0,3,0,1,0,0,0,0,0,0,5,0,0,0
r14,2,0,5,4,0,0,0,0,0,0,0,0,0,0,5
r15,3,0,1,1,0,0,5,1,3,5,0,2,4,4,3
r16,0,0,0,4,0,4,0,5,0,0,2,0,5,0,3
r17,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
r18,0,3,0,0,0,0,4,1,3,5,0,2,3,5,0
r19,1,3,4,4,5,4,4,5,2,3,1,1,4,4,3
r20,0,5,0,4,0,0,2,5,5,0,0,0,0,0,0
r21,0,0,5,3,0,0,1,4,0,0,4,0,0,2,0
r22,3,0,3,0,3,2,2,3,1,1,2,0,3,2,3
r23,3,3,1,2,2,4,5,1,4,5,1,1,3,5,4
r24,2,2,2,5,0,5,4,5,2,4,1,2,5,5,3
r25,0,0,4,4,0,0,0,0,4,0,5,5,2,1,1
r26,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
r27,2,0,5,0,0,3,1,0,0,0,0,3,3,3,0
r28,0,4,5,0,1,1,0,2,0,0,3,5,0,1,2
r29,4,0,2,1,2,2,3,0,0,0,4,5,3,1,0
r30,0,2,1,0,0,2,0,3,0,0,3,4,0,1,0
r31,3,0,0,3,0,0,0,0,0,5,0,0,0,0,4
r32,2,2,3,5,4,3,5,5,0,4,1,1,5,4,3
r33,1,0,0,0,4,5,5,5,2,0,0,0,5,0,0
r34,0,1,0,5,4,0,0,5,1,3,0,0,0,3,0
r35,4,5,5,0,0,2,2,0,0,0,0,0,1,2,0
r36,0,0,2,0,3,2,0,4,1,0,0,0,3,0,2
r37,2,5,5,0,0,3,1,0,0,2,5,0,0,3,0
r38,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
r39,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0
r40,0,2,3,5,5,3,4,5,0,0,1,1,4,3,2
r41,4,2,1,2,2,5,5,2,3,4,2,1,4,0,5
r42,1,1,0,4,4,5,4,5,2,0,1,1,4,3,2
r43,2,0,5,0,0,3,0,4,5,0,5,3,0,0,4
r44,3,0,2,3,4,0,4,1,4,4,3,0,5,5,3
r45,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0
r46,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0
r47,4,2,3,1,2,2,2,2,1,2,3,4,2,3,3
r48,4,3,4,0,1,1,2,3,4,0,4,0,1,1,0
r49,5,5,4,4,1,2,2,1,3,3,5,5,1,1,1
r50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
r51,1,5,5,0,3,4,2,3,5,0,4,3,2,3,5
r52,5,4,3,3,0,2,2,2,5,0,0,4,1,1,0
r53,1,1,4,4,0,0,5,0,0,4,1,0,5,0,3
r54,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
r55,0,3,0,0,0,5,0,0,0,0,0,0,0,5,0
r56,4,0,2,0,3,4,4,2,3,5,2,0,4,4,4
r57,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0
r58,0,0,1,0,4,0,0,0,0,0,0,1,0,0,4
r59,3,4,1,3,0,4,4,0,0,0,0,1,4,5,4
r60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
r61,5,1,1,1,0,2,4,3,1,0,0,4,2,1,3
r62,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0
r63,0,0,0,0,1,1,0,0,3,2,0,0,0,1,0
r64,1,0,4,0,0,0,0,4,0,0,0,0,0,0,3
r65,5,0,0,0,0,1,2,0,0,0,5,0,0,0,0
r66,5,4,0,5,0,0,3,2,0,4,4,4,1,0,1
r67,0,0,0,2,0,3,2,0,0,2,0,3,3,3,5
r68,5,0,4,3,1,0,1,2,4,4,5,4,1,1,0
r69,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
r70,1,0,4,5,5,3,5,0,1,3,1,1,5,4,4
r71,2,5,4,3,0,0,0,4,5,2,0,0,4,4,0
r72,2,0,0,0,2,0,5,1,0,4,2,3,3,5,0
r73,4,1,3,1,3,2,3,2,1,1,3,5,2,2,2
r74,5,1,0,2,2,2,3,4,1,1,2,5,3,2,1
r75,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
r76,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
r77,2,0,2,4,5,4,5,0,1,0,0,0,5,0,3
r78,3,5,5,3,4,2,2,4,5,2,4,2,3,3,5
r79,0,2,1,0,3,3,4,2,0,1,3,0,0,2,1
r80,0,0,0,2,0,4,4,0,2,5,0,3,0,0,0
r81,5,0,3,0,0,0,0,1,3,0,5,0,0,0,0
r82,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0
r83,0,0,4,0,0,0,0,5,2,4,0,0,0,0,0
r84,3,1,1,1,2,3,0,0,2,0,3,5,2,0,0
r85,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0
r86,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
r87,5,5,3,4,1,2,2,0,4,0,4,5,1,2,1
r88,5,4,5,3,2,1,2,2,4,0,5,5,1,1,1
r89,5,3,4,4,1,2,2,3,0,3,3,5,1,1,0
r90,4,3,1,0,2,5,5,1,0,0,1,3,3,5,0
r91,2,5,0,4,0,0,2,4,4,0,5,2,4,0,0
r92,0,0,0,2,2,5,5,0,0,0,0,0,4,0,0
r93,5,1,1,0,3,0,0,0,1,0,0,0,3,1,0
r94,0,0,0,4,2,0,0,0,4,0,3,0,0,1,0
r95,0,0,1,1,2,2,0,0,0,0,0,5,0,0,0
r96,0,0,0,0,0,0,0,1,0,5,0,0,0,0,4
r97,0,0,0,0,4,3,0,4,0,0,0,4,3,0,0
r98,1,3,4,0,0,4,5,5,2,4,1,1,0,3,4
r99,1,2,4,4,5,0,0,5,3,4,1,0,0,3,0
r100,0,1,0,0,0,3,5,0,3,4,1,0,0,0,0
